custid,大类编码,大类名称,中类编码,中类名称,小类编码,小类名称,销售日期,销售月份,商品编码,规格型号,商品类型,单位,销售数量,销售金额,商品单价,是否促销
270,22,休闲,2202,糕点,220208,散称糕点,20150203,201502,DW-2202080032,,一般商品,KG,,6.16,23.8,是
1279,12,蔬果,1201,蔬菜,120104,花果,20150203,201502,DW-1201040036,,生鲜,千克,,2.16,1.8,否
267,15,日配,1505,冷藏乳品,150504,冷藏乳酸菌,20150203,201502,DW-1505040017,,一般商品,组,,11.5,11.5,否
355,12,蔬果,1203,水果,120301,柑桔柚类,20150203,201502,DW-1203010290,,生鲜,KG,,12.82,2,否
592,15,日配,1521,蛋类,152101,新鲜蛋品,20150203,201502,DW-1521010005,,一般商品,千克,,7.8,6.78,否
1270,20,粮油,2011,液体调料,201101,老抽酱油,20150203,201502,DW-2011010024,,一般商品,瓶,,6.9,6.9,否
1280,10,肉禽,1001,猪肉,100104,猪骨,20150203,201502,DW-1001040133,,生鲜,千克,,30.59,25.8,否
1280,20,粮油,2013,调味酱,201306,甜面/豆瓣酱,20150203,201502,DW-2013060014,,一般商品,袋,,2,2,否
1280,20,粮油,2013,调味酱,201306,甜面/豆瓣酱,20150203,201502,DW-2013060015,,一般商品,袋,,2,2,否
1280,22,休闲,2202,糕点,220201,派,20150203,201502,DW-2202010026,,一般商品,盒,,10.8,18.9,是
1281,12,蔬果,1201,蔬菜,120101,叶菜,20150203,201502,DW-1201010005,,生鲜,千克,,2.09,5.8,否
1273,22,休闲,2201,饼干,220111,趣味/休闲,20150203,201502,DW-2201110032,,一般商品,盒,,4.5,4.5,否
1273,22,休闲,2204,蜜饯,220405,山楂,20150203,201502,DW-2204050029,,一般商品,扎,,3.9,3.9,否
553,12,蔬果,1203,水果,120302,苹果类,20150203,201502,DW-1203020162,,生鲜,KG,,10.31,7.98,否
337,33,文体,3319,笔类,331907,白板笔,20150203,201502,DW-3319070016,,一般商品,支,,2,2.3,否
1274,22,休闲,2202,糕点,220201,派,20150203,201502,DW-2202010026,,一般商品,盒,,10.8,18.9,是
1277,12,蔬果,1201,蔬菜,120102,根茎,20150203,201502,DW-1201020045,,生鲜,千克,,4.71,7.6,否
1277,12,蔬果,1202,加工豆类,120201,豆腐,20150203,201502,DW-1202018073,,生鲜,千克,,2.5,2.96,否
317,10,肉禽,1001,猪肉,100101,鲜猪肉,20150203,201502,DW-1001010191,,生鲜,千克,,9.33,29.8,否
680,20,粮油,2005,煮食面/粉,200506,蔬菜挂面,20150203,201502,DW-2005060016,,一般商品,筒,,4.5,4.7,否
270,14,烘焙,1403,现制西式糕点,140301,现制西式糕点,20150203,201502,DW-1403010085,,生鲜,千克,,6.24,16,否
270,30,洗化,3018,卫生巾,301804,卫生护垫,20150203,201502,DW-3018040187,,一般商品,包,,4.5,4.9,是
732,15,日配,1518,常温乳品,151802,利乐砖加味奶,20150203,201502,DW-1518020050,,一般商品,盒,,5,5,否
732,15,日配,1521,蛋类,152101,新鲜蛋品,20150203,201502,DW-1521010005,,一般商品,千克,,8.24,6.78,否
1240,10,肉禽,1001,猪肉,100101,鲜猪肉,20150203,201502,DW-1001010205,,生鲜,千克,,6.8,19.8,否
1240,12,蔬果,1201,蔬菜,120101,叶菜,20150203,201502,DW-1201010005,,生鲜,千克,,2.5,5.8,否
1240,12,蔬果,1201,蔬菜,120102,根茎,20150203,201502,DW-1201020010,,生鲜,千克,,1.94,3.8,否
1240,12,蔬果,1201,蔬菜,120104,花果,20150203,201502,DW-1201040036,,生鲜,千克,,2.1,1.8,否
1270,30,洗化,3011,保养用品,301102,洁面乳,20150203,201502,DW-3011020648,,一般商品,支,,21.9,22.9,否
619,30,洗化,3016,纸制品,301603,无芯纸,20150203,201502,DW-3016030118,,一般商品,提,,18.9,24.9,是
425,15,日配,1518,常温乳品,151899,其他常温乳品,20150203,201502,DW-1518990050,,一般商品,瓶,,12,3,否
969,20,粮油,2011,液体调料,201107,滴醋,20150203,201502,DW-2011070005,,一般商品,桶,,12.9,12.9,否
1282,22,休闲,2201,饼干,220102,夹心,20150203,201502,DW-2201020093,,一般商品,盒,,6.9,6.9,否
1271,12,蔬果,1201,蔬菜,120106,菌菇类,20150203,201502,DW-1201060004,,生鲜,千克,,4.44,16.8,否
572,12,蔬果,1201,蔬菜,120101,叶菜,20150203,201502,DW-1201010001,,生鲜,千克,,1.7,5.56,否
1283,15,日配,1513,冷冻包子馒头,151301,甜馅包子,20150203,201502,DW-1513010001,,一般商品,袋,,7.5,7.7,否
666,20,粮油,2009,盐/糖,200902,功能盐,20150203,201502,DW-2009020012,,一般商品,袋,,2.3,2.3,否
127,30,洗化,3018,卫生巾,301801,日用卫生巾,20150203,201502,DW-3018010131,,一般商品,包,,7.9,9.5,是
355,12,蔬果,1201,蔬菜,120104,花果,20150203,201502,DW-1201040018,,生鲜,千克,,3.39,7.6,否
553,14,烘焙,1403,现制西式糕点,140301,现制西式糕点,20150203,201502,DW-1403010085,,生鲜,千克,,6,16,否
1270,31,家居,3119,卫浴用品,311902,浴球和浴花,20150203,201502,DW-3119020073,,一般商品,个,,7.5,7.5,否
546,21,冲调,2104,冲饮品,210402,奶茶饮品,20150203,201502,DW-2104020041,,一般商品,杯,,3.2,3.2,否
546,22,休闲,2203,膨化点心,220302,袋装薯片,20150203,201502,DW-2203020164,,一般商品,盒,,7.8,8.5,否
969,20,粮油,2008,调味料,200801,99%味精,20150203,201502,DW-2008010006,,一般商品,袋,,10.5,3.9,否
34,12,蔬果,1201,蔬菜,120104,花果,20150203,201502,DW-1201040035,,生鲜,千克,,5.9,9.6,否
34,20,粮油,2011,液体调料,201107,滴醋,20150203,201502,DW-2011070002,,一般商品,瓶,,4.2,4.2,否
1280,20,粮油,2011,液体调料,201110,其他醋,20150203,201502,DW-2011100002,,一般商品,瓶,,6.9,6.9,否
355,12,蔬果,1201,蔬菜,120102,根茎,20150203,201502,DW-1201020044,,生鲜,千克,,2.45,3.96,否
1270,30,洗化,3007,洗浴用品,300704,沐浴露,20150203,201502,DW-3007040522,,一般商品,瓶,,19.9,19.9,否
546,22,休闲,2206,即食熟制品,220606,海苔,20150203,201502,DW-2206060019,,一般商品,袋,,3.3,3.5,否
1201,23,酒饮,2306,运动机能饮料,230604,健康机能饮料,20150203,201502,DW-2306040015,,一般商品,瓶,,3.7,3.8,否
355,12,蔬果,1201,蔬菜,120104,花果,20150203,201502,DW-1201040049,,生鲜,千克,,3.43,5.8,否
355,12,蔬果,1202,加工豆类,120205,豆类料理,20150203,201502,DW-1202058118,,生鲜,袋,,5.5,5.8,否
706,12,蔬果,1201,蔬菜,120102,根茎,20150203,201502,DW-1201020042,,生鲜,千克,,5.3,7.8,否
425,22,休闲,2202,糕点,220202,蛋糕,20150203,201502,DW-2202020177,,一般商品,KG,,12.6,51.6,否
969,20,粮油,2011,液体调料,201103,凉拌酱油,20150203,201502,DW-2011030009,,一般商品,桶,,5.9,6.7,否
1284,15,日配,1515,冷冻火锅类,151503,火锅丸类,20150203,201502,DW-1515030007,,一般商品,千克,,24,32.6,否
1270,31,家居,3122,地垫类,312205,马桶垫,20150203,201502,DW-3122050066,,一般商品,只,,13.9,16.9,是
546,22,休闲,2203,膨化点心,220302,袋装薯片,20150203,201502,DW-2203020186,,一般商品,罐,,7.5,7.5,否
619,20,粮油,2010,食用油,201003,花生油,20150203,201502,DW-2010030004,,一般商品,瓶,,138,145,否
1201,22,休闲,2201,饼干,220102,夹心,20150203,201502,DW-2201020028,,一般商品,袋,,5.3,5.3,否
1282,22,休闲,2201,饼干,220102,夹心,20150203,201502,DW-2201020030,,一般商品,袋,,5.3,5.3,否
1276,23,酒饮,2303,果汁饮料,230304,植物蛋白饮料,20150203,201502,DW-2303040002,,一般商品,盒,,10.5,12.7,是
34,20,粮油,2011,液体调料,201111,料酒,20150203,201502,DW-2011110003,,一般商品,袋,,1.9,1.9,否
64,11,水产,1101,冰鲜水产,110107,贝蛤类,20150203,201502,DW-1101070017,,生鲜,kg,,11.5,30,否
1271,12,蔬果,1201,蔬菜,120102,根茎,20150203,201502,DW-1201020043,,生鲜,千克,,2.32,1.8,否
1271,12,蔬果,1201,蔬菜,120106,菌菇类,20150203,201502,DW-1201060009,,生鲜,千克,,6.32,7.47,否
1271,15,日配,1518,常温乳品,151813,利乐砖乳酸菌,20150203,201502,DW-1518130011,,一般商品,盒,,58.8,5.3,是
842,22,休闲,2203,膨化点心,220302,袋装薯片,20150203,201502,DW-2203020019,,一般商品,袋,,3.3,3.5,否
546,22,休闲,2205,炒货,220512,豆类,20150203,201502,DW-2205120087,,一般商品,kg,,9.2,19.8,否
1281,12,蔬果,1203,水果,120309,进口水果,20150203,201502,DW-1203090210,,生鲜,KG,,7.2,17.6,否
210,12,蔬果,1201,蔬菜,120102,根茎,20150203,201502,DW-1201020362,,生鲜,千克,,3.45,3.98,否
706,20,粮油,2014,酱菜类,201401,榨菜,20150203,201502,DW-2014010012,,一般商品,袋,,1,0.5,否
317,12,蔬果,1201,蔬菜,120109,其它蔬菜,20150203,201502,DW-1201090032,,生鲜,千克,,2.6,7.96,否
210,12,蔬果,1202,加工豆类,120201,豆腐,20150203,201502,DW-1202018073,,生鲜,千克,,2.1,2.96,否
1278,22,休闲,2201,饼干,220111,趣味/休闲,20150203,201502,DW-2201110062,,一般商品,盒,,4.3,4.3,否
936,12,蔬果,1201,蔬菜,120103,芽菜,20150203,201502,DW-1201030001,,生鲜,千克,,0.96,1.76,否
336,13,熟食,1301,凉拌熟食,130101,凉拌素食,20150203,201502,DW-1301010076,散称,联营商品,kg,,7.4,20,否
34,20,粮油,2011,液体调料,201111,料酒,20150203,201502,DW-2011110013,,一般商品,瓶,,3.6,3.9,是
553,10,肉禽,1001,猪肉,100101,鲜猪肉,20150203,201502,DW-1001010194,,生鲜,千克,,4.48,29.8,否
666,12,蔬果,1201,蔬菜,120102,根茎,20150203,201502,DW-1201020037,,生鲜,千克,,1.73,3.96,否
1201,22,休闲,2205,炒货,220503,去壳花生,20150203,201502,DW-2205030047,,一般商品,袋,,2.9,2.9,否
600,22,休闲,2209,巧克力,220901,威化巧克力,20150203,201502,DW-2209010023,,一般商品,盒,,8.5,8.5,否
997,15,日配,1518,常温乳品,151802,利乐砖加味奶,20150203,201502,DW-1518020052,,一般商品,箱,,58,76,是
716,22,休闲,2203,膨化点心,220399,其他膨化点心,20150203,201502,DW-2203990003,,一般商品,袋,,3,3.3,否
127,22,休闲,2202,糕点,220205,中式糕点,20150203,201502,DW-2202050141,,一般商品,KG,,4.19,17.8,是
355,12,蔬果,1201,蔬菜,120101,叶菜,20150203,201502,DW-1201010023,,生鲜,千克,,1.2,2.56,否
1246,12,蔬果,1201,蔬菜,120104,花果,20150203,201502,DW-1201040026,,生鲜,千克,,4.04,1.98,否
421,10,肉禽,1001,猪肉,100102,猪下水,20150203,201502,DW-1001020104,,生鲜,千克,,10.2,31,否
732,10,肉禽,1004,鸡产品,100404,调味鸡肉,20150203,201502,DW-1004040019,,生鲜,Kg,,8.27,19.6,否
732,23,酒饮,2303,果汁饮料,230304,植物蛋白饮料,20150203,201502,DW-2303040015,,一般商品,盒,,2.9,2.9,否
969,12,蔬果,1203,水果,120313,其它水果,20150203,201502,DW-1203130339,,生鲜,KG,,8.1,19.8,否
1008,20,粮油,2008,调味料,200809,淀/酵/碱粉,20150203,201502,DW-2008090024,,一般商品,袋,,2,2.9,否
716,22,休闲,2203,膨化点心,220301,米制点心,20150203,201502,DW-2203010039,,一般商品,袋,,7.8,8.5,否
337,23,酒饮,2311,国产白酒,231102,普通低度白酒,20150203,201502,DW-2311020222,,一般商品,瓶,,16.9,19.3,否
380,15,日配,1518,常温乳品,151805,利乐枕纯奶,20150203,201502,DW-1518050007,,一般商品,袋,,33.9,2.7,是
380,22,休闲,2203,膨化点心,220305,粟米类,20150203,201502,DW-2203050030,,一般商品,袋,,3.8,3.9,否
600,22,休闲,2209,巧克力,220901,威化巧克力,20150203,201502,DW-2209010024,,一般商品,盒,,7.9,8,否
1280,22,休闲,2201,饼干,220110,简装/压缩,20150203,201502,DW-2201100015,,一般商品,KG,,5.21,19.8,否
1271,15,日配,1505,冷藏乳品,150504,冷藏乳酸菌,20150203,201502,DW-1505040050,,一般商品,板,,25.8,11,否
237,21,冲调,2102,茶叶,210202,包装茶,20150203,201502,DW-2102020027,散称,联营商品,袋,,4.6,4.7,否
936,15,日配,1501,冷藏肉制品,150101,香肠类,20150203,201502,DW-1501010003,,一般商品,袋,,2,2,否
997,12,蔬果,1203,水果,120301,柑桔柚类,20150203,201502,DW-1203010204,,生鲜,KG,,5.2,3.98,否
1192,11,水产,1102,冷冻水产,110203,冷冻虾蟹,20150203,201502,DW-1102030005,,生鲜,kg,,31.69,31.8,否
152,12,蔬果,1201,蔬菜,120103,芽菜,20150203,201502,DW-1201030001,,生鲜,千克,,0.23,1.76,否
400,12,蔬果,1203,水果,120301,柑桔柚类,20150203,201502,DW-1203010204,,生鲜,KG,,5.28,3.98,否
796,15,日配,1518,常温乳品,151802,利乐砖加味奶,20150203,201502,DW-1518020042,,一般商品,盒,,4.9,4.9,否
796,22,休闲,2205,炒货,220507,果片,20150203,201502,DW-2205070011,,一般商品,袋,,5.3,5.3,否
902,12,蔬果,1201,蔬菜,120102,根茎,20150203,201502,DW-1201020721,,生鲜,千克,,0.42,5,否
1192,20,粮油,2014,酱菜类,201405,腐乳,20150203,201502,DW-2014050030,,一般商品,瓶,,7.5,7.7,否
51,22,休闲,2201,饼干,220107,酥性,20150203,201502,DW-2201070117,,一般商品,KG,,7.2,19.6,否
317,12,蔬果,1201,蔬菜,120104,花果,20150203,201502,DW-1201040003,,生鲜,千克,,1.61,4.98,否
680,20,粮油,2014,酱菜类,201403,笋类,20150203,201502,DW-2014030007,,一般商品,袋,,2.2,2.3,否
1285,12,蔬果,1201,蔬菜,120105,鲜调味,20150203,201502,DW-1201050007,,生鲜,千克,,1.7,15.6,否
113,20,粮油,2008,调味料,200809,淀/酵/碱粉,20150203,201502,DW-2008090024,,一般商品,袋,,2,2.9,否
902,12,蔬果,1201,蔬菜,120104,花果,20150203,201502,DW-1201040026,,生鲜,千克,,2.96,1.98,否
400,12,蔬果,1201,蔬菜,120106,菌菇类,20150203,201502,DW-1201060003,,生鲜,千克,,3.3,6.56,否
1286,22,休闲,2205,炒货,220515,南瓜子,20150203,201502,DW-2205150010,,一般商品,袋,,7.9,8.3,否
1287,12,蔬果,1201,蔬菜,120102,根茎,20150203,201502,DW-1201020008,,生鲜,千克,,1.83,5.8,否
1287,22,休闲,2201,饼干,220102,夹心,20150203,201502,DW-2201020141,,一般商品,杯,,4.4,5.3,否
34,12,蔬果,1201,蔬菜,120101,叶菜,20150203,201502,DW-1201010006,,生鲜,千克,,1,12,否
336,22,休闲,2202,糕点,220205,中式糕点,20150203,201502,DW-2202050141,,一般商品,KG,,1.8,17.8,是
361,30,洗化,3016,纸制品,301608,软抽纸巾,20150203,201502,DW-3016080259,,一般商品,提,,15.9,21.9,是
1288,22,休闲,2209,巧克力,220904,牛奶巧克力,20150203,201502,DW-2209040066,,一般商品,袋,,13.5,13.5,否
113,21,冲调,2106,蜂蜜/面包酱,210699,其他蜂蜜/面包,20150203,201502,DW-2106990042,,一般商品,瓶,,19.9,30.7,是
902,12,蔬果,1202,加工豆类,120201,豆腐,20150203,201502,DW-1202018269,,生鲜,块,,2,2,否
267,15,日配,1505,冷藏乳品,150501,冷藏原味酸乳,20150203,201502,DW-1505010113,,一般商品,瓶,,10.9,10.9,否
400,10,肉禽,1001,猪肉,100101,鲜猪肉,20150203,201502,DW-1001010196,,生鲜,千克,,5.62,27.8,否
400,12,蔬果,1201,蔬菜,120104,花果,20150203,201502,DW-1201040031,,生鲜,千克,,2.66,3.16,否
796,22,休闲,2201,饼干,220111,趣味/休闲,20150203,201502,DW-2201110106,,一般商品,盒,,5.9,6.5,否
337,15,日配,1521,蛋类,152101,新鲜蛋品,20150203,201502,DW-1521010001,,一般商品,千克,,21.4,19.8,否
337,20,粮油,2011,液体调料,201101,老抽酱油,20150203,201502,DW-2011010038,,一般商品,瓶,,3.9,3.9,否
210,15,日配,1521,蛋类,152101,新鲜蛋品,20150203,201502,DW-1521010005,,一般商品,千克,,7.59,6.78,否
1289,20,粮油,2005,煮食面/粉,200502,杂粮挂面,20150203,201502,DW-2005020008,,一般商品,卷,,9.5,9.9,否
600,21,冲调,2101,奶粉,210106,婴儿辅助食品,20150203,201502,DW-2101060055,,一般商品,支,,4.9,4.9,否
1177,23,酒饮,2311,国产白酒,231101,名酒,20150203,201502,DW-2311010015,,一般商品,瓶,,3540,690,是
1287,12,蔬果,1201,蔬菜,120103,芽菜,20150203,201502,DW-1201030002,,生鲜,千克,,1.2,2.78,否
1287,22,休闲,2203,膨化点心,220399,其他膨化点心,20150203,201502,DW-2203990005,,一般商品,袋,,2.7,2.7,否
212,12,蔬果,1201,蔬菜,120102,根茎,20150203,201502,DW-1201020043,,生鲜,千克,,2.6,1.8,否
1277,12,蔬果,1201,蔬菜,120102,根茎,20150203,201502,DW-1201020008,,生鲜,千克,,1.52,5.8,否
1279,12,蔬果,1201,蔬菜,120104,花果,20150203,201502,DW-1201040049,,生鲜,千克,,4.83,5.8,否
1277,20,粮油,2007,南北干货,200709,粉丝/条,20150203,201502,DW-2007090052,,一般商品,袋,,5.5,5.7,否
1288,22,休闲,2209,巧克力,220902,夹心巧克力,20150203,201502,DW-2209020071,,一般商品,袋,,3.3,3.3,否
317,12,蔬果,1201,蔬菜,120101,叶菜,20150203,201502,DW-1201010009,,生鲜,千克,,0.94,6.56,否
317,12,蔬果,1201,蔬菜,120102,根茎,20150203,201502,DW-1201020017,,生鲜,千克,,1.07,2.56,否
680,20,粮油,2014,酱菜类,201401,榨菜,20150203,201502,DW-2014010013,,一般商品,袋,,1.8,1.7,否
680,30,洗化,3014,个人卫生用品,301406,棉棒/棉球,20150203,201502,DW-3014060009,,一般商品,袋,,2,2,否
936,12,蔬果,1201,蔬菜,120109,其它蔬菜,20150203,201502,DW-1201090311,,生鲜,个,,4,2,否
400,12,蔬果,1203,水果,120303,梨类,20150203,201502,DW-1203030161,,生鲜,KG,,5.27,15.96,否
1290,15,日配,1518,常温乳品,151802,利乐砖加味奶,20150203,201502,DW-1518020001,,一般商品,盒,,3.5,3.5,否
1290,22,休闲,2207,糖果,220703,软糖,20150203,201502,DW-2207030113,,一般商品,瓶,,8.9,8.9,否
997,34,针织,3431,拖鞋,343105,女布/绒面拖鞋,20150203,201502,DW-3431050151,,一般商品,双,,9.9,11.9,是
1279,15,日配,1521,蛋类,152101,新鲜蛋品,20150203,201502,DW-1521010005,,一般商品,千克,,15.1,6.78,否
842,20,粮油,2002,袋装速食面组,200201,牛肉口味,20150203,201502,DW-2002010015,,一般商品,组,,11.6,14.7,否
842,20,粮油,2005,煮食面/粉,200501,挂面,20150203,201502,DW-2005010013,,一般商品,袋,,2.8,2.9,否
1270,12,蔬果,1201,蔬菜,120109,其它蔬菜,20150203,201502,DW-1201090032,,生鲜,千克,,1.63,7.96,否
1270,30,洗化,3009,剃须护理用品,300901,剃须刀片,20150203,201502,DW-3009010017,,一般商品,盒,,17.9,17.9,否
1280,31,家居,3114,一次性用品,311406,牙签/牙签合/水,20150203,201502,DW-3114060025,,一般商品,袋,,1.5,2,是
1271,12,蔬果,1201,蔬菜,120101,叶菜,20150203,201502,DW-1201010025,,生鲜,千克,,1.51,3.96,否
1272,15,日配,1505,冷藏乳品,150501,冷藏原味酸乳,20150203,201502,DW-1505010033,,一般商品,组,,8.9,13.2,是
1272,22,休闲,2207,糖果,220799,其他糖果,20150203,201502,DW-2207990016,,一般商品,袋,,3.5,3.5,否
260,22,休闲,2208,口香糖,220801,无糖口香糖,20150203,201502,DW-2208010003,,一般商品,瓶,,10.4,10.4,否
51,20,粮油,2011,液体调料,201111,料酒,20150203,201502,DW-2011110031,,一般商品,瓶,,9.9,9.9,否
716,22,休闲,2202,糕点,220299,其他糕点,20150203,201502,DW-2202990074,,一般商品,袋,,6.9,11.3,是
600,22,休闲,2204,蜜饯,220409,果蔬干,20150203,201502,DW-2204090047,,一般商品,袋,,13.9,13.9,否
1246,15,日配,1518,常温乳品,151802,利乐砖加味奶,20150203,201502,DW-1518020001,,一般商品,盒,,42,3.5,否
380,23,酒饮,2303,果汁饮料,230304,植物蛋白饮料,20150203,201502,DW-2303040052,,一般商品,听,,4.5,4.5,否
680,15,日配,1505,冷藏乳品,150504,冷藏乳酸菌,20150203,201502,DW-1505040040,,一般商品,瓶,,9.9,9.9,否
152,12,蔬果,1201,蔬菜,120101,叶菜,20150203,201502,DW-1201010005,,生鲜,千克,,2.89,5.8,否
796,22,休闲,2202,糕点,220202,蛋糕,20150203,201502,DW-2202020127,,一般商品,盒,,9.9,9.9,否
411,20,粮油,2015,罐头,201502,水果罐头,20150203,201502,DW-2015020004,,一般商品,瓶,,6.5,6.7,否
270,30,洗化,3016,纸制品,301606,手帕纸,20150203,201502,DW-3016060003,,一般商品,包,,5.8,6.9,是
997,12,蔬果,1203,水果,120301,柑桔柚类,20150203,201502,DW-1203010218,,生鲜,KG,,13.5,7.96,否
997,12,蔬果,1203,水果,120303,梨类,20150203,201502,DW-1203030184,,生鲜,KG,,13.5,4,否
1279,10,肉禽,1001,猪肉,100101,鲜猪肉,20150203,201502,DW-1001010205,,生鲜,千克,,19.79,19.8,否
1279,12,蔬果,1201,蔬菜,120102,根茎,20150203,201502,DW-1201020026,,生鲜,千克,,2.67,2.56,否
1279,12,蔬果,1201,蔬菜,120105,鲜调味,20150203,201502,DW-1201050011,,生鲜,千克,,1.14,6.56,否
666,20,粮油,2008,调味料,200803,鸡精,20150203,201502,DW-2008030006,,一般商品,袋,,3.5,4.3,是
127,12,蔬果,1201,蔬菜,120102,根茎,20150203,201502,DW-1201020037,,生鲜,千克,,2.43,3.96,否
1240,15,日配,1521,蛋类,152101,新鲜蛋品,20150203,201502,DW-1521010005,,一般商品,千克,,14.8,6.78,否
842,22,休闲,2203,膨化点心,220303,罐装薯片,20150203,201502,DW-2203030004,,一般商品,罐,,7.9,7.9,否
1271,15,日配,1501,冷藏肉制品,150101,香肠类,20150203,201502,DW-1501010068,,一般商品,袋,,21.5,21.5,否
1281,12,蔬果,1201,蔬菜,120102,根茎,20150203,201502,DW-1201020365,,生鲜,千克,,3.91,3.96,否
553,12,蔬果,1201,蔬菜,120101,叶菜,20150203,201502,DW-1201010004,,生鲜,千克,,3.41,5.6,否
1291,31,家居,3119,卫浴用品,311901,皂盒,20150203,201502,DW-3119010028,,一般商品,个,,5,5,否
716,22,休闲,2203,膨化点心,220302,袋装薯片,20150203,201502,DW-2203020275,,一般商品,袋,,3.9,3.9,否
1274,20,粮油,2009,盐/糖,200902,功能盐,20150203,201502,DW-2009020012,,一般商品,袋,,2.3,2.3,否
1289,20,粮油,2011,液体调料,201107,滴醋,20150203,201502,DW-2011070002,,一般商品,瓶,,4.2,4.2,否
212,20,粮油,2011,液体调料,201107,滴醋,20150203,201502,DW-2011070008,,一般商品,瓶,,4.8,4.8,否
52,15,日配,1518,常温乳品,151804,利乐砖酸酸乳,20150203,201502,DW-1518040002,,一般商品,盒,,1.8,1.8,否
317,11,水产,1103,干货水产,110301,干货鱼类,20150203,201502,DW-1103010078,,生鲜,千克,,33.21,17.8,否
317,12,蔬果,1201,蔬菜,120102,根茎,20150203,201502,DW-1201020025,,生鲜,千克,,0.93,2.56,否
317,12,蔬果,1201,蔬菜,120104,花果,20150203,201502,DW-1201040035,,生鲜,千克,,2.8,9.6,否
680,15,日配,1501,冷藏肉制品,150199,其它肠类,20150203,201502,DW-1501990008,,一般商品,板,,17.5,17.9,否
680,30,洗化,3008,洗护发用品,300802,润发护发,20150203,201502,DW-3008020601,,一般商品,瓶,,16.9,16.9,否
1278,22,休闲,2205,炒货,220512,豆类,20150203,201502,DW-2205120001,,一般商品,袋,,4.5,4.5,否
936,12,蔬果,1201,蔬菜,120104,花果,20150203,201502,DW-1201040010,,生鲜,千克,,3.38,2.58,否
1287,22,休闲,2203,膨化点心,220302,袋装薯片,20150203,201502,DW-2203020188,,一般商品,罐,,7.5,7.5,否
732,12,蔬果,1201,蔬菜,120101,叶菜,20150203,201502,DW-1201010020,,生鲜,包,,3.6,4.98,否
1279,12,蔬果,1201,蔬菜,120104,花果,20150203,201502,DW-1201040026,,生鲜,千克,,1.7,1.98,否
1201,23,酒饮,2306,运动机能饮料,230602,运动饮料,20150203,201502,DW-2306020018,,一般商品,瓶,,4.5,5,否
355,12,蔬果,1201,蔬菜,120102,根茎,20150203,201502,DW-1201020037,,生鲜,千克,,2.59,3.96,否
816,20,粮油,2013,调味酱,201302,辣酱,20150203,201502,DW-2013020139,,一般商品,瓶,,7.9,8.9,否
706,20,粮油,2008,调味料,200805,香辛粉,20150203,201502,DW-2008050028,,一般商品,瓶,,12.5,12.9,否
127,12,蔬果,1201,蔬菜,120106,菌菇类,20150203,201502,DW-1201060014,,生鲜,kg,,3.9,30,否
842,20,粮油,2015,罐头,201501,八宝粥,20150203,201502,DW-2015010042,,一般商品,听,,3.3,3.3,否
1270,20,粮油,2006,五谷杂粮,200608,杂粮粉,20150203,201502,DW-2006080036,,一般商品,公斤,,4.06,4.58,否
546,22,休闲,2203,膨化点心,220302,袋装薯片,20150203,201502,DW-2203020282,,一般商品,袋,,3.5,3.7,否
1282,23,酒饮,2307,乳饮料,230705,乳酸菌饮料,20150203,201502,DW-2307050002,,一般商品,板,,7.5,7.5,否
1281,12,蔬果,1201,蔬菜,120102,根茎,20150203,201502,DW-1201020361,,生鲜,kg,,8.92,56,否
1270,12,蔬果,1202,加工豆类,120201,豆腐,20150203,201502,DW-1202018267,,生鲜,块,,3,1.5,否
546,22,休闲,2201,饼干,220111,趣味/休闲,20150203,201502,DW-2201110223,,一般商品,袋,,5.2,5.2,否
706,20,粮油,2014,酱菜类,201401,榨菜,20150203,201502,DW-2014010057,,一般商品,袋,,3.9,3.9,否
969,12,蔬果,1203,水果,120303,梨类,20150203,201502,DW-1203030184,,生鲜,KG,,5.34,4,否
1271,12,蔬果,1201,蔬菜,120102,根茎,20150203,201502,DW-1201020037,,生鲜,千克,,1.79,3.96,否
1271,15,日配,1508,冷冻点心,150802,冷冻年糕,20150203,201502,DW-1508020008,,一般商品,袋,,5.9,6.3,否
1281,12,蔬果,1201,蔬菜,120103,芽菜,20150203,201502,DW-1201030002,,生鲜,千克,,1.1,2.78,否
1273,22,休闲,2201,饼干,220111,趣味/休闲,20150203,201502,DW-2201110159,,一般商品,盒,,3.8,4.3,否
1271,12,蔬果,1202,加工豆类,120204,豆干豆皮,20150203,201502,DW-1202048059,,生鲜,千克,,3.12,7.76,否
1281,12,蔬果,1201,蔬菜,120105,鲜调味,20150203,201502,DW-1201050004,,生鲜,千克,,3.19,5.98,否
1273,22,休闲,2202,糕点,220201,派,20150203,201502,DW-2202010026,,一般商品,盒,,10.8,18.9,是
34,12,蔬果,1201,蔬菜,120104,花果,20150203,201502,DW-1201040049,,生鲜,千克,,4.1,5.8,否
361,31,家居,3118,打扫用品,311801,手套,20150203,201502,DW-3118010086,,一般商品,双,,8,8,否
1192,11,水产,1103,干货水产,110301,干货鱼类,20150203,201502,DW-1103010078,,生鲜,千克,,8.21,17.8,否
51,12,蔬果,1201,蔬菜,120102,根茎,20150203,201502,DW-1201020721,,生鲜,千克,,0.4,5,否
716,32,家电,3227,电池配件,322701,干电池,20150203,201502,DW-3227010115,,一般商品,卡,,4,4.5,否
256,13,熟食,1308,现制中式面点,130801,现制蒸类,20150203,201502,DW-1308010191,,生鲜,千克,,2,6,否
